%P.Basicos ES 2019;%P.Basicos ES 2020
83,70;79,20
68,60;62,20
41,20;87,30
68,00;64,70
84,80;97,60
48,30;77,00
59,90;70,50
98,40;84,60
45,50;91,10
82,50;84,80
71,40;76,10
58,60;78,10
64,10;76,00
72,50;80,40
68,60;67,80
86,10;84,70
57,90;75,80
83,40;60,30
75,50;83,40
97,30;80,00
48,20;94,20
68,70;86,00
85,30;80,00
92,10;84,10
92,60;92,70
42,00;89,00
60,10;84,50
84,10;99,60
57,80;97,60
89,30;75,10
80,50;73,60
44,90;77,60
98,20;90,20
59,30;65,50
91,40;74,50
88,40;79,30
53,00;78,10
98,20;97,20
83,50;96,60
77,00;69,40
47,30;74,10
49,90;80,60
50,00;89,40
86,10;86,40
92,50;85,10
96,90;92,50
46,30;84,10
46,10;70,80
72,90;61,80
45,30;90,50
90,00;99,30
53,30;81,70
56,80;77,60
41,30;81,40
90,10;94,00
79,60;89,10
40,80;65,70
51,40;65,50
98,40;96,20
64,30;73,30
95,30;86,60
77,70;83,40
56,60;87,70
45,60;83,30
56,50;99,30
93,20;76,40
80,60;75,10
90,50;99,10
72,20;86,60
41,70;95,50
60,20;95,10
92,30;74,00
69,70;70,10
68,50;65,20
67,20;94,00
65,90;92,40
45,50;90,70
58,30;99,20
69,90;60,30
74,40;60,90
60,10;60,60
62,60;92,90
68,80;96,30
90,90;74,90
77,00;99,20
89,50;70,40
65,40;73,70
65,10;60,80
56,00;65,30
96,40;64,20
74,00;85,10
48,30;66,90
41,70;93,30
81,60;93,50
84,20;80,40
83,20;99,70
73,00;62,10
88,10;80,10
83,30;68,20
81,90;88,50
46,20;64,10
53,30;88,10
58,20;98,90
76,00;99,70
93,50;62,70
87,60;97,90
80,00;68,80
93,20;74,50
78,90;90,70
40,10;73,60
53,20;97,60
98,10;99,10
43,20;72,80
89,60;64,00
95,60;63,50
75,50;66,30
75,90;95,40
86,70;74,30
42,50;79,30
63,60;81,30
47,90;84,80
62,20;96,40
89,30;65,70
51,70;76,30
41,00;81,90
45,70;61,10
64,00;79,90
70,00;74,30
93,40;64,70
58,10;96,40
52,50;76,10
57,40;77,30
93,00;67,50
60,30;66,50
87,40;92,00
86,10;77,00
49,70;95,50
70,90;98,00
95,40;83,30
93,50;61,50
53,20;78,20
69,10;63,50
57,90;67,90
96,10;92,80
87,30;69,90
46,00;82,10
92,90;63,10
65,60;79,60
93,30;86,40
76,20;72,90
91,60;87,30
71,50;83,30
92,20;71,50
44,20;83,20
64,90;79,80
58,90;97,00
73,90;71,70
71,70;71,80
52,20;70,70
57,20;87,40
47,50;94,90
74,90;76,90
56,20;68,10
42,40;95,30
73,90;66,60
82,60;76,20
89,20;84,40
50,00;74,30
82,50;93,80
56,50;62,90
51,50;66,30
99,60;79,30
42,20;64,70
81,80;96,50
79,10;71,00
57,60;70,10
56,50;83,90
72,20;79,30
88,20;89,30
40,10;76,70
96,80;93,30
56,10;73,70
59,60;61,30
51,80;76,30
87,80;85,20
99,40;76,60
45,70;67,00
92,00;98,70
98,40;91,50
94,60;95,40
53,10;80,60
95,70;75,30
54,90;93,20
45,90;98,10
85,90;96,60
84,20;85,90
70,80;69,20
86,20;82,50
82,70;100,00
49,70;96,00
75,80;84,00
91,70;96,40
43,40;61,10
95,10;99,20
86,80;72,00
80,10;65,30
92,60;90,30
60,60;78,30
72,70;98,50
95,30;95,30
47,10;67,70
67,80;61,20
81,00;93,80
96,30;74,60
66,40;61,80
86,80;98,60
51,00;63,70
56,70;87,80
58,40;83,20
69,10;95,80
71,50;83,70
60,80;66,70
82,50;84,00
48,30;72,70
79,60;90,20
48,80;71,60
56,70;81,30
52,60;87,40
96,00;92,20
57,00;87,40
77,40;83,70
96,60;86,80
83,10;84,90
88,10;89,40
85,90;60,40
58,90;75,60
72,90;81,10
74,40;87,90
48,70;98,70
86,60;88,90
92,30;62,50
98,90;95,70
84,00;75,00
97,20;96,40
89,60;77,80
43,40;85,60
98,50;90,30
55,30;88,90
82,80;90,40
47,50;60,20
72,90;82,90
72,70;82,90
94,50;87,50
94,50;88,60
63,50;62,20
90,60;81,70
62,20;94,30
88,00;79,60
78,60;97,40
98,60;95,20
73,40;87,50
60,30;63,60
94,40;93,20
89,00;90,40
85,80;94,60
51,70;94,70
98,30;60,80
55,70;65,60
76,00;98,50
90,20;90,80
80,60;81,70
94,60;98,40
53,80;96,90
42,20;80,90
53,90;86,50
97,00;71,60
49,60;88,60
64,70;60,60
45,20;89,00
58,40;63,80
84,50;82,40
69,70;75,70
61,30;95,40
83,10;64,30
64,40;78,80
58,50;81,30
61,60;68,90
98,80;74,80
97,60;77,80
93,60;74,30
72,00;68,20
44,80;87,70
70,50;65,90
73,30;76,70
98,70;80,60
81,10;99,80
96,40;94,60
96,40;88,00
90,80;83,90
54,80;87,20
53,80;84,70
42,00;96,80
77,30;79,30
64,80;100,00
98,30;83,30
44,40;77,90
62,30;86,40
82,20;62,90
73,10;94,90
52,90;96,00
50,20;92,40
66,40;60,10
63,30;70,60
90,80;92,40
95,50;77,80
60,10;70,90
49,70;79,10
66,10;70,00
57,20;66,50
55,20;73,10
53,10;61,70
91,10;80,70
68,80;84,70
85,90;91,70
62,20;93,50
78,30;66,10
99,50;68,70
63,40;86,90
83,30;84,90
59,20;73,80
98,20;68,80
70,60;79,60
74,10;79,20
69,40;65,70
90,00;61,20
92,90;64,40
70,20;65,20
99,90;89,60
77,10;77,30
90,60;71,20
81,80;91,60
69,80;98,20
79,50;84,70
42,40;69,60
59,60;84,40
71,00;95,60
59,80;62,90
70,40;91,40
71,20;76,10
68,40;91,30
74,60;90,90
41,60;91,30
59,50;64,10
89,10;81,70
82,80;82,50
46,40;87,60
69,60;61,00
41,70;86,70
88,10;79,60
67,20;73,50
55,50;61,80
87,30;82,80
93,80;95,30
49,70;61,00
66,40;68,30
41,70;69,60
43,60;99,30
69,10;69,20
77,10;97,10
57,80;87,80
74,40;71,50
55,00;91,40
51,90;90,30
64,00;71,50
99,30;92,10
85,20;85,20
57,90;87,20
43,40;87,70
61,70;68,10
57,60;82,00
62,50;64,30
78,60;80,30
